Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,131,120,173,190,246,82,380,0.0,False
jmeter_view_page:open_page,5110,278,261,377,423,527,141,746,0.0,False
jmeter_view_blog,1894,405,366,567,756,973,178,1214,0.0,False
jmeter_view_dashboard,1304,386,323,597,650,762,170,1005,0.0,False
jmeter_create_and_edit_page:create_page_editor,1164,113,104,152,173,240,67,319,0.0,False
jmeter_create_and_edit_page:create_page,1164,271,255,350,391,487,156,628,0.0,False
jmeter_create_and_edit_page:open_editor,1164,17,14,21,26,71,9,188,0.0,False
jmeter_create_and_edit_page:edit_page,1163,285,270,353,385,449,200,591,0.0,False
jmeter_create_and_edit_page:quick_edit_page,1163,267,250,343,382,468,192,700,0.0,False
jmeter_search_cql:recently_viewed,1448,17,12,28,38,87,7,211,0.0,False
jmeter_search_cql:search_results,1447,368,346,483,527,633,146,800,0.0,False
jmeter_create_blog:blog_editor,581,138,126,193,223,291,83,378,0.0,False
jmeter_create_blog:feel_and_publish,580,255,239,326,366,469,172,518,0.0,False
jmeter_comment_page,1004,53,46,80,98,141,27,318,0.0,False
jmeter_view_attachment,716,184,164,260,301,418,100,668,0.0,False
jmeter_like_page,425,22,19,28,37,88,10,244,0.0,False
jmeter_upload_attachment,849,474,411,782,886,1180,209,1465,0.0,False
Create token,1424,125,115,161,192,235,84,323,0.0,True
Get Tokens,1424,6,5,10,12,18,3,70,0.0,True
Use Token,1424,7,6,11,13,19,4,101,0.0,True
Delete Token,1424,8,6,12,14,21,4,96,0.0,True
selenium_login:open_login_page,144,90,85,99,107,235,70,272,0.0,False
selenium_login:login_and_view_dashboard,144,191,183,225,267,328,145,351,0.0,False
selenium_view_blog,144,548,524,748,835,1213,275,1901,0.0,False
selenium_view_dashboard,144,153,143,188,206,246,119,295,0.0,False
selenium_view_page,144,382,369,518,558,859,216,869,0.0,False
selenium_view_page_from_cache,144,305,296,394,412,440,202,555,0.0,False
selenium_create_page:open_create_page_editor,144,316,308,359,393,576,265,605,0.0,False
selenium_create_page:save_created_page,144,190,180,227,256,284,152,314,0.0,False
selenium_edit_page_by_url:open_create_page_editor,144,310,276,442,480,562,218,638,0.0,False
selenium_edit_page_by_url:save_edited_page,144,345,334,445,486,529,213,558,0.0,False
selenium_quick_edit_page_click:open_create_page_editor,144,287,270,358,448,527,187,588,0.0,False
selenium_quick_edit_page_click:save_edited_page,144,298,282,394,415,448,196,462,0.0,False
selenium_create_comment:write_comment,144,847,892,1004,1029,1053,581,1098,0.0,False
selenium_create_comment:save_comment,144,572,575,579,580,584,129,586,0.0,False
selenium_create_comment,144,1878,1884,2055,2113,2174,1544,2330,0.0,False
selenium_log_out,144,141,136,159,173,235,121,298,0.0,False
