Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,265,41117,6774,128546,135309,141176,953,143082,23.0,False
jmeter_view_issue,9184,11886,9943,24669,28591,33434,681,42886,0.0,False
jmeter_view_dashboard,2690,24736,13352,70665,76422,86186,567,95066,18.0,False
jmeter_search_jql,2957,21925,21481,41112,44799,51266,1242,64721,0.0,False
jmeter_view_scrum_board,2158,12316,9728,26735,30851,35953,659,45081,0.0,False
jmeter_view_backlog,1607,15328,12695,31711,35678,43027,571,50544,0.0,False
jmeter_create_issue:open_quick_create,1087,4542,2828,11760,14391,19292,200,26835,1.0,False
jmeter_create_issue:fill_and_submit_issue_form,1083,5421,3471,12964,16049,21437,247,27054,1.0,False
jmeter_browse_projects,2425,5773,3937,13986,16449,22228,291,29612,0.0,False
jmeter_view_kanban_board,1875,12885,11482,27061,31021,35690,684,48487,0.0,False
jmeter_edit_issue:open_editor,1347,8012,5929,18032,20642,26380,410,31984,0.0,False
jmeter_edit_issue:save_edit,1339,12253,8619,26753,30796,35212,821,49097,0.0,False
jmeter_view_project_summary,804,10623,7918,23206,26257,31983,579,41421,0.0,False
jmeter_add_comment:open_comment,534,7895,5872,17900,19288,27630,398,31514,1.0,False
jmeter_add_comment:save_comment,531,11629,9206,24623,27406,33559,748,42565,1.0,False
jmeter_app_specific_action,517,39321,38642,60698,63200,68159,8426,76072,10.0,True
jmeter_browse_boards,262,7307,5270,16898,18717,27622,443,29281,0.0,False
check_logged_in_as_specific_user,3,1560,1888,1917,1920,1923,867,1924,100.0,True
check_logged_in_as_default_user,1,3231,3231,3231,3231,3231,3231,3231,100.0,True
selenium_login:open_login_page,30,1218,437,2309,5520,7949,129,8360,0.0,False
selenium_login:login_and_view_dashboard,30,34321,18876,83106,84435,86388,528,86796,27.0,False
selenium_login,30,35540,23798,84548,86545,87017,659,87105,27.0,False
selenium_project_summary,22,3740,1915,12617,13366,16570,500,17421,0.0,False
selenium_browse_projects_list,22,1470,844,2723,3980,5916,276,6414,0.0,False
selenium_browse_boards_list,22,3386,1551,10277,12410,12722,727,12779,0.0,False
selenium_create_issue:open_quick_create,22,3923,1206,8661,19671,20269,644,20280,9.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,20,3740,1962,10560,12078,14811,590,15494,0.0,False
selenium_create_issue:fill_and_submit_issue_form,20,4326,2480,11156,12691,15364,1087,16032,0.0,False
selenium_create_issue,22,7856,5376,19740,20222,20270,1764,20280,9.0,False
selenium_edit_issue:open_edit_issue_form,22,2498,1500,7695,8866,10070,389,10378,0.0,False
selenium_edit_issue:save_edit_issue_form,22,2043,1452,3979,6804,8087,466,8390,0.0,False
selenium_edit_issue,22,5733,3974,14997,17686,18067,1600,18140,0.0,False
selenium_save_comment:open_comment_form,22,2126,1149,4481,7834,13271,210,14672,0.0,False
selenium_save_comment:submit_form,22,3884,2748,7280,12646,14791,627,15286,0.0,False
selenium_save_comment,22,7212,4366,19161,21417,23037,1448,23446,0.0,False
selenium_search_jql,22,11857,8386,30974,32107,33504,1512,33865,0.0,False
selenium_view_scrum_board_backlog,22,2273,1459,4887,5615,7278,771,7711,0.0,False
selenium_view_scrum_board,22,2025,1286,4188,4628,6124,750,6515,0.0,False
selenium_view_kanban_board,22,2708,1670,5829,7392,10489,762,11292,0.0,False
selenium_view_dashboard,22,1310,568,2264,4490,7892,225,8766,0.0,False
selenium_view_issue,22,1588,956,3109,4067,7555,464,8470,0.0,False
selenium_log_out,22,1494,816,2872,3503,7750,336,8871,0.0,False
