Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,4752,1838,15599,24945,32804,1074,34740,0.0,False
jmeter_view_dashboard,4143,840,760,1192,1295,1514,567,2027,0.0,False
jmeter_browse_projects,3718,440,390,643,719,881,286,1173,0.0,False
jmeter_create_issue:open_quick_create,1662,318,288,437,491,610,207,4900,0.0,False
jmeter_view_issue,14109,1095,944,1626,1805,2200,691,6400,0.0,False
jmeter_view_scrum_board,3319,1115,1002,1636,1837,2170,659,6617,0.0,False
jmeter_view_kanban_board,2893,1031,918,1436,1611,1975,697,6049,0.0,False
jmeter_view_backlog,2480,1478,1338,2190,2431,3003,777,10010,0.0,False
jmeter_search_jql,4567,2097,1850,3002,3353,4210,1321,8845,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1661,636,585,900,1006,1346,371,4351,0.0,False
jmeter_edit_issue:open_editor,2069,639,570,920,1019,1260,420,1686,0.0,False
jmeter_edit_issue:save_edit,2068,1342,1201,1888,2153,2683,887,4155,0.0,False
jmeter_view_project_summary,1240,803,726,1109,1221,1450,577,1623,0.0,False
jmeter_add_comment:open_comment,823,552,500,744,838,1050,396,1364,0.0,False
jmeter_add_comment:save_comment,822,1219,1094,1724,1891,2235,815,2958,0.0,False
jmeter_browse_boards,406,529,478,742,846,986,351,1309,0.0,False
jmeter_app_specific_action,814,4891,4616,5071,5232,14148,226,60118,1.0,True
selenium_login:open_login_page,125,190,163,241,288,381,132,1461,0.0,False
selenium_login:login_and_view_dashboard,125,2178,2239,2590,2693,3198,512,40367,0.0,False
selenium_login,125,2369,2429,2790,2936,3542,653,41829,0.0,False
selenium_project_summary,125,570,495,682,734,1512,344,4814,0.0,False
selenium_browse_projects_list,125,386,370,484,521,679,265,901,0.0,False
selenium_browse_boards_list,125,1114,1109,1342,1365,1446,723,2754,0.0,False
selenium_create_issue:open_quick_create,125,1050,1071,1276,1307,1323,672,2644,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,125,1061,1094,1309,1486,1698,634,1740,0.0,False
selenium_create_issue:fill_and_submit_issue_form,125,1668,1665,1925,2126,2392,1138,4857,0.0,False
selenium_create_issue,125,2719,2726,3143,3217,4211,1919,5981,0.0,False
selenium_edit_issue:open_edit_issue_form,125,532,503,690,727,881,396,1292,0.0,False
selenium_edit_issue:save_edit_issue_form,125,601,565,821,878,957,458,978,0.0,False
selenium_edit_issue,125,2244,2264,2462,2581,2667,1408,2744,0.0,False
selenium_save_comment:open_comment_form,125,294,264,395,506,596,216,690,0.0,False
selenium_save_comment:submit_form,125,980,884,1276,1470,1871,729,3390,0.0,False
selenium_save_comment,125,2216,2168,2613,2682,2877,1683,4379,0.0,False
selenium_search_jql,125,2032,1741,2963,3457,3921,1291,6729,0.0,False
selenium_view_scrum_board_backlog,125,1353,1321,1720,1791,1880,802,3667,0.0,False
selenium_view_scrum_board,125,1225,1229,1453,1505,1599,839,3333,0.0,False
selenium_view_kanban_board,125,1310,1328,1579,1632,1883,822,2195,0.0,False
selenium_view_dashboard,125,330,291,464,545,633,243,726,0.0,False
selenium_view_issue,125,618,566,853,988,1057,431,1471,0.0,False
selenium_log_out,125,438,413,553,621,757,345,767,0.0,False
