Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1035,833,1358,1465,6654,499,8019,0.0,False
jmeter_view_dashboard,4111,246,232,322,354,441,136,806,0.0,False
jmeter_create_issue:open_quick_create,1648,102,91,135,164,212,62,3919,0.0,False
jmeter_view_issue,13998,382,358,485,538,673,248,4488,0.0,False
jmeter_view_kanban_board,2871,308,283,406,454,565,204,924,0.0,False
jmeter_view_scrum_board,3292,347,331,452,508,621,209,5821,0.0,False
jmeter_search_jql,4532,788,758,937,1014,1193,572,7431,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1648,400,374,504,550,650,271,5385,0.0,False
jmeter_view_backlog,2460,586,559,716,799,985,384,10434,0.0,False
jmeter_browse_projects,3690,148,137,199,226,283,93,492,0.0,False
jmeter_view_project_summary,1230,212,200,271,308,383,137,516,0.0,False
jmeter_edit_issue:open_editor,2052,206,191,273,306,374,139,2181,0.0,False
jmeter_edit_issue:save_edit,2052,520,476,668,777,1098,236,2767,0.0,False
jmeter_add_comment:open_comment,816,170,158,232,258,324,104,456,0.0,False
jmeter_add_comment:save_comment,816,497,473,606,661,765,382,1054,0.0,False
jmeter_app_specific_action,1213,273,261,330,357,418,211,798,0.0,True
jmeter_browse_boards,402,173,159,237,252,297,114,473,0.0,False
selenium_login:open_login_page,163,132,108,128,150,186,93,3222,0.0,False
selenium_login:login_and_view_dashboard,163,883,648,1339,1394,2693,496,21526,1.0,False
selenium_login,163,1016,764,1453,1510,3989,601,21678,1.0,False
selenium_project_summary,162,435,402,441,456,523,334,5271,0.0,False
selenium_browse_projects_list,162,339,336,368,392,425,264,977,0.0,False
selenium_browse_boards_list,162,949,948,1151,1176,1199,253,4728,0.0,False
selenium_create_issue:open_quick_create,162,889,926,1092,1108,1170,599,1619,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,162,844,822,1020,1052,1464,591,1579,0.0,False
selenium_create_issue:fill_and_submit_issue_form,162,1435,1420,1655,1713,2071,1064,2134,0.0,False
selenium_create_issue,162,2325,2333,2706,2793,3104,1766,3224,0.0,False
selenium_edit_issue:open_edit_issue_form,162,514,488,567,656,921,435,1635,0.0,False
selenium_edit_issue:save_edit_issue_form,162,611,602,688,785,860,489,1212,0.0,False
selenium_edit_issue,162,1668,1636,1800,1892,2223,1481,3701,0.0,False
selenium_save_comment:open_comment_form,162,307,303,359,376,466,212,571,0.0,False
selenium_save_comment:submit_form,162,814,780,893,951,1197,647,3975,0.0,False
selenium_save_comment,162,1982,1978,2161,2225,2290,1583,5088,0.0,False
selenium_search_jql,162,1273,1185,1662,1739,1836,969,3115,0.0,False
selenium_view_scrum_board_backlog,162,1339,1226,1732,1750,1844,799,5656,0.0,False
selenium_view_scrum_board,162,1061,1052,1224,1260,1308,783,3827,0.0,False
selenium_view_kanban_board,162,1144,1160,1353,1405,1548,765,1686,0.0,False
selenium_view_dashboard,162,255,245,305,327,406,206,423,0.0,False
selenium_view_issue,162,544,536,611,627,698,464,709,0.0,False
selenium_log_out,162,320,316,351,382,438,277,479,0.0,False
